period,department,category,budget,actual
2024-01,Marketing,Ads,28654.0,26458.36
2024-01,Marketing,Events,11265.0,9836.97
2024-01,Marketing,Content,21023.0,18343.93
2024-01,Marketing,SEO,7433.0,6863.35
2024-01,Engineering,Cloud,13666.0,12378.63
2024-01,Engineering,Dev Tools,5189.0,5694.17
2024-01,Engineering,Security,22912.0,25043.23
2024-01,Engineering,Consulting,15627.0,6205.16
2024-01,HR,Recruiting,27619.0,24824.38
2024-01,HR,Training,19541.0,18034.28
2024-01,HR,Benefits,15805.0,14602.9
2024-01,Finance,Audit,5161.0,6299.84
2024-01,Finance,Software,12629.0,10963.12
2024-01,Finance,Advisory,13529.0,14674.91
2024-01,Sales,Travel,12208.0,21511.0
2024-01,Sales,CRM,7695.0,9050.74
2024-01,Sales,Training,17666.0,17549.16
2024-01,Operations,Supplies,18067.0,15816.27
2024-01,Operations,Maintenance,24115.0,29055.8
2024-01,Operations,Logistics,18773.0,21376.66
2024-01,IT,Hardware,28322.0,46495.76
2024-01,IT,Software,24174.0,25994.55
2024-01,IT,Support,11374.0,13105.36
2024-02,Marketing,Ads,15295.54,18388.1
2024-02,Marketing,Events,16897.48,19794.87
2024-02,Marketing,Content,26725.26,24021.6
2024-02,Marketing,SEO,6332.29,3378.52
2024-02,Engineering,Cloud,25481.47,22880.99
2024-02,Engineering,Dev Tools,23479.38,23372.59
2024-02,Engineering,Security,25606.71,29061.26
2024-02,Engineering,Consulting,22496.37,23645.3
2024-02,HR,Recruiting,12649.11,14195.87
2024-02,HR,Training,27387.81,24165.4
2024-02,HR,Benefits,9383.58,10349.36
2024-02,Finance,Audit,20767.3,18904.2
2024-02,Finance,Software,21956.52,20597.33
2024-02,Finance,Advisory,16765.7,15420.2
2024-02,Sales,Travel,7658.37,8579.49
2024-02,Sales,CRM,27999.76,26688.72
2024-02,Sales,Training,14368.99,13712.78
2024-02,Operations,Supplies,27022.01,29811.78
2024-02,Operations,Maintenance,20911.36,24937.41
2024-02,Operations,Logistics,18675.66,21741.02
2024-02,IT,Hardware,7898.66,9790.11
2024-02,IT,Software,17399.19,19326.75
2024-02,IT,Support,28597.44,26353.37
2024-03,Marketing,Ads,6499.17,7001.7
2024-03,Marketing,Events,24335.23,26426.81
2024-03,Marketing,Content,11341.5,13246.02
2024-03,Marketing,SEO,15258.55,14374.69
2024-03,Engineering,Cloud,15447.08,19275.18
2024-03,Engineering,Dev Tools,15744.79,13480.42
2024-03,Engineering,Security,18019.41,22382.5
2024-03,Engineering,Consulting,8582.55,8383.17
2024-03,HR,Recruiting,29282.87,35783.86
2024-03,HR,Training,9901.06,8970.69
2024-03,HR,Benefits,6222.35,5629.04
2024-03,Finance,Audit,11551.65,13562.16
2024-03,Finance,Software,25410.87,27981.37
2024-03,Finance,Advisory,14059.9,16956.26
2024-03,Sales,Travel,18305.03,20479.86
2024-03,Sales,CRM,24204.54,28904.13
2024-03,Sales,Training,25178.2,22681.13
2024-03,Operations,Supplies,8811.34,9101.29
2024-03,Operations,Maintenance,9616.67,8706.37
2024-03,Operations,Logistics,18263.64,21333.29
2024-03,IT,Hardware,18879.41,17439.54
2024-03,IT,Software,6968.65,6406.41
2024-03,IT,Support,12229.03,11289.18
2024-04,Marketing,Ads,20111.26,21554.08
2024-04,Marketing,Events,25655.72,23435.44
2024-04,Marketing,Content,13295.22,11517.54
2024-04,Marketing,SEO,15076.64,15779.91
2024-04,Engineering,Cloud,9505.32,10421.06
2024-04,Engineering,Dev Tools,11320.41,13849.1
2024-04,Engineering,Security,20276.66,8471.62
2024-04,Engineering,Consulting,6132.51,6164.82
2024-04,HR,Recruiting,8565.61,9425.39
2024-04,HR,Training,21484.42,6191.65
2024-04,HR,Benefits,7016.65,7804.55
2024-04,Finance,Audit,17976.09,17306.33
2024-04,Finance,Software,18308.25,20945.16
2024-04,Finance,Advisory,16850.77,18155.16
2024-04,Sales,Travel,22938.57,26621.71
2024-04,Sales,CRM,17263.85,19859.45
2024-04,Sales,Training,19294.63,20232.82
2024-04,Operations,Supplies,12227.53,10446.41
2024-04,Operations,Maintenance,8549.52,9581.52
2024-04,Operations,Logistics,13570.06,13126.1
2024-04,IT,Hardware,14385.28,16723.16
2024-04,IT,Software,24655.67,26376.93
2024-04,IT,Support,10070.8,12462.22
2024-05,Marketing,Ads,10999.4,9719.54
2024-05,Marketing,Events,31324.06,27644.72
2024-05,Marketing,Content,21744.73,26140.3
2024-05,Marketing,SEO,7089.72,7093.29
2024-05,Engineering,Cloud,11389.06,10813.8
2024-05,Engineering,Dev Tools,22666.96,23516.16
2024-05,Engineering,Security,20711.89,23770.72
2024-05,Engineering,Consulting,5503.77,5307.2
2024-05,HR,Recruiting,24457.84,30356.09
2024-05,HR,Training,26807.92,33434.47
2024-05,HR,Benefits,17036.69,15613.89
2024-05,Finance,Audit,26985.88,29245.29
2024-05,Finance,Software,21745.46,18986.95
2024-05,Finance,Advisory,25044.43,23172.32
2024-05,Sales,Travel,5012.1,6213.79
2024-05,Sales,CRM,11936.78,12109.66
2024-05,Sales,Training,5951.75,7298.11
2024-05,Operations,Supplies,15345.45,18768.89
2024-05,Operations,Maintenance,6017.82,7066.25
2024-05,Operations,Logistics,28887.35,35761.55
2024-05,IT,Hardware,20526.17,29216.98
